run_tag,strategy,profile,concurrency,endpoint,method,requests,failures,rps,avg_ms,p50_ms,p95_ms,p99_ms
atomic_update_read_heavy_c50_rep2,atomic_update,read_heavy,50,/items/:id [GET],GET,956,0,68.24,159.63,160.0,210.0,260.0
atomic_update_read_heavy_c50_rep2,atomic_update,read_heavy,50,/items/:id/reserve [POST],POST,1140,37,81.37,180.59,180.0,240.0,300.0
atomic_update_read_heavy_c50_rep2,atomic_update,read_heavy,50,/metrics/consistency [GET],GET,155,0,11.06,181.26,180.0,260.0,320.0
atomic_update_read_heavy_c50_rep2,atomic_update,read_heavy,50,/reservations/:id/release [POST],POST,327,0,23.34,190.37,180.0,250.0,310.0
atomic_update_read_heavy_c5_rep1,atomic_update,read_heavy,5,/items [GET],GET,654,0,46.58,9.52,9.0,14.0,17.0
atomic_update_read_heavy_c5_rep1,atomic_update,read_heavy,5,/items/:id [GET],GET,644,0,45.87,8.0,8.0,13.0,15.0
atomic_update_read_heavy_c5_rep1,atomic_update,read_heavy,5,/items/:id/reserve [POST],POST,711,19,50.64,15.02,14.0,22.0,34.0
atomic_update_read_heavy_c5_rep1,atomic_update,read_heavy,5,/metrics/consistency [GET],GET,123,0,8.76,15.18,14.0,24.0,30.0
atomic_update_read_heavy_c5_rep1,atomic_update,read_heavy,5,/reservations/:id/release [POST],POST,210,0,14.96,17.0,16.0,25.0,34.0
atomic_update_read_heavy_c5_rep2,atomic_update,read_heavy,5,/items [GET],GET,626,0,44.57,9.37,9.0,14.0,17.0
atomic_update_read_heavy_c5_rep2,atomic_update,read_heavy,5,/items/:id [GET],GET,631,0,44.92,8.03,8.0,12.0,17.0
atomic_update_read_heavy_c5_rep2,atomic_update,read_heavy,5,/items/:id/reserve [POST],POST,745,28,53.04,15.07,14.0,22.0,32.0
atomic_update_read_heavy_c5_rep2,atomic_update,read_heavy,5,/metrics/consistency [GET],GET,117,0,8.33,15.22,14.0,21.0,32.0
atomic_update_read_heavy_c5_rep2,atomic_update,read_heavy,5,/reservations/:id/release [POST],POST,214,0,15.24,17.41,17.0,24.0,34.0
atomic_update_spike_c100_rep1,atomic_update,spike,100,/items [GET],GET,1015,0,72.36,348.71,340.0,550.0,680.0
atomic_update_spike_c100_rep1,atomic_update,spike,100,/items/:id [GET],GET,997,0,71.07,335.87,320.0,530.0,680.0
atomic_update_spike_c100_rep1,atomic_update,spike,100,/items/:id/reserve [POST],POST,1161,27,82.76,365.57,360.0,550.0,730.0
atomic_update_spike_c100_rep1,atomic_update,spike,100,/metrics/consistency [GET],GET,156,0,11.12,360.59,350.0,580.0,640.0
atomic_update_spike_c100_rep1,atomic_update,spike,100,/reservations/:id/release [POST],POST,287,0,20.46,376.36,370.0,560.0,690.0
atomic_update_spike_c100_rep2,atomic_update,spike,100,/items [GET],GET,1160,0,82.7,290.99,290.0,420.0,510.0
atomic_update_spike_c100_rep2,atomic_update,spike,100,/items/:id [GET],GET,1192,0,84.98,288.38,280.0,450.0,600.0
atomic_update_spike_c100_rep2,atomic_update,spike,100,/items/:id/reserve [POST],POST,1367,38,97.46,308.43,300.0,450.0,600.0
atomic_update_spike_c100_rep2,atomic_update,spike,100,/metrics/consistency [GET],GET,195,0,13.9,307.8,300.0,450.0,600.0
atomic_update_spike_c100_rep2,atomic_update,spike,100,/reservations/:id/release [POST],POST,341,0,24.31,311.48,310.0,430.0,530.0
atomic_update_spike_c20_rep1,atomic_update,spike,20,/items [GET],GET,1157,0,82.53,41.77,42.0,57.0,66.0
atomic_update_spike_c20_rep1,atomic_update,spike,20,/items/:id [GET],GET,1189,0,84.81,38.92,39.0,55.0,62.0
atomic_update_spike_c20_rep1,atomic_update,spike,20,/items/:id/reserve [POST],POST,1376,45,98.15,54.26,55.0,72.0,79.0
atomic_update_spike_c20_rep1,atomic_update,spike,20,/metrics/consistency [GET],GET,187,0,13.34,52.62,53.0,68.0,74.0
atomic_update_spike_c20_rep1,atomic_update,spike,20,/reservations/:id/release [POST],POST,378,0,26.96,59.55,61.0,77.0,83.0
atomic_update_spike_c20_rep2,atomic_update,spike,20,/items [GET],GET,1154,0,82.25,41.81,43.0,59.0,68.0
atomic_update_spike_c20_rep2,atomic_update,spike,20,/items/:id [GET],GET,1158,0,82.54,39.14,40.0,55.0,67.0
atomic_update_spike_c20_rep2,atomic_update,spike,20,/items/:id/reserve [POST],POST,1348,40,96.08,54.9,56.0,74.0,89.0
atomic_update_spike_c20_rep2,atomic_update,spike,20,/metrics/consistency [GET],GET,201,0,14.33,53.88,55.0,74.0,82.0
atomic_update_spike_c20_rep2,atomic_update,spike,20,/reservations/:id/release [POST],POST,375,0,26.73,61.08,62.0,78.0,95.0
atomic_update_spike_c50_rep1,atomic_update,spike,50,/items [GET],GET,1151,0,81.94,133.83,140.0,160.0,180.0
atomic_update_spike_c50_rep1,atomic_update,spike,50,/items/:id [GET],GET,1190,0,84.71,130.45,140.0,160.0,180.0
atomic_update_spike_c50_rep1,atomic_update,spike,50,/items/:id/reserve [POST],POST,1359,41,96.74,149.81,150.0,180.0,210.0
atomic_update_spike_c50_rep1,atomic_update,spike,50,/metrics/consistency [GET],GET,199,0,14.17,148.19,150.0,180.0,200.0
atomic_update_spike_c50_rep1,atomic_update,spike,50,/reservations/:id/release [POST],POST,392,0,27.91,158.53,160.0,190.0,200.0
atomic_update_spike_c50_rep2,atomic_update,spike,50,/items [GET],GET,1083,0,77.11,150.82,150.0,200.0,230.0
atomic_update_spike_c50_rep2,atomic_update,spike,50,/items/:id [GET],GET,1031,0,73.4,145.49,150.0,190.0,220.0
atomic_update_spike_c50_rep2,atomic_update,spike,50,/items/:id/reserve [POST],POST,1268,39,90.28,166.88,170.0,220.0,260.0
atomic_update_spike_c50_rep2,atomic_update,spike,50,/metrics/consistency [GET],GET,164,0,11.68,165.42,170.0,220.0,250.0
atomic_update_spike_c50_rep2,atomic_update,spike,50,/reservations/:id/release [POST],POST,330,0,23.49,178.08,180.0,230.0,250.0
atomic_update_spike_c5_rep1,atomic_update,spike,5,/items [GET],GET,674,0,47.98,8.18,8.0,12.0,13.0
atomic_update_spike_c5_rep1,atomic_update,spike,5,/items/:id [GET],GET,700,0,49.83,7.08,7.0,11.0,12.0
